kind,prefix,rank,grid_rank,grid_row,grid_col,local_rows,local_cols,total,compute,communication,distribution,broadcast,gather,idle,bytes_sent,bytes_received
rank,n32_p4,0,0,0,0,16,16,0.000098865000,0.000003047000,0.000084630000,0.000043521000,0.000024219000,0.000016890000,0.000011188000,16384,10240
rank,n32_p4,1,1,0,1,16,16,0.000096588000,0.000003097000,0.000081884000,0.000019971000,0.000054136000,0.000007777000,0.000011607000,6144,8192
rank,n32_p4,2,2,1,0,16,16,0.000092455000,0.000003298000,0.000055900000,0.000007583000,0.000044738000,0.000003579000,0.000033257000,6144,8192
rank,n32_p4,3,3,1,1,16,16,0.000105450000,0.000003122000,0.000070909000,0.000038444000,0.000028422000,0.000004043000,0.000031419000,6144,8192
