n,processes,total_time,compute_time,communication_time,imbalance_percent,bytes_sent,bytes_received
3000,1,12.008580553000,11.777817172000,0.185017007000,0.000000,0,0
3000,4,8.426711204000,6.334850634000,4.919964693000,19.911645,306000000,306000000
3000,9,7.720188267000,3.159228663000,4.836249114000,9.192975,480000000,480000000
6000,1,113.105301355000,112.194917022000,0.734362982000,0.000000,0,0
6000,4,63.054117341000,45.187377180000,30.479242956000,19.028755,1224000000,1224000000
6000,9,45.457885692000,27.794446124000,19.348266226000,7.087503,1920000000,1920000000
9000,1,368.380469781000,360.656487136000,7.368593826000,0.000000,0,0
9000,4,196.829825151000,176.403115322000,94.422150871000,18.615446,2754000000,2754000000
9000,9,133.108607186000,100.813928691000,65.785120622000,12.534026,4320000000,4320000000
