kind,prefix,n,processes,grid,block,init,verify_error,checksum,total_max,compute_max,comm_max,idle_max,imbalance_percent,bytes_sent,bytes_received
summary,correctness_np1_n64,64,1,1,64,pattern,0.000000000000e+00,6288756.000000000000,0.000145408000,0.000099061000,0.000044158000,0.000002189000,0.000000,0,0
summary,correctness_np4_n64,64,4,2,32,pattern,0.000000000000e+00,6288756.000000000000,0.000247648000,0.000024608000,0.000217215000,0.000047739000,16.785922,139264,139264
