kind,prefix,rank,grid_rank,grid_row,grid_col,local_rows,local_cols,total,compute,communication,distribution,broadcast,gather,idle,bytes_sent,bytes_received
rank,correctness_np1_n64,0,0,0,0,64,64,0.000145408000,0.000099061000,0.000044158000,0.000042219000,0.000000295000,0.000001644000,0.000002189000,0,0
rank,correctness_np4_n64,0,0,0,0,32,32,0.000247376000,0.000023992000,0.000217215000,0.000107551000,0.000068094000,0.000041570000,0.000006169000,65536,40960
rank,correctness_np4_n64,1,1,0,1,32,32,0.000247648000,0.000023935000,0.000175974000,0.000061131000,0.000109290000,0.000005553000,0.000047739000,24576,32768
rank,correctness_np4_n64,2,2,1,0,32,32,0.000208664000,0.000024608000,0.000171710000,0.000037145000,0.000111453000,0.000023112000,0.000012346000,24576,32768
rank,correctness_np4_n64,3,3,1,1,32,32,0.000211034000,0.000023093000,0.000169690000,0.000051898000,0.000108325000,0.000009467000,0.000018251000,24576,32768
