processes,n,total_with_comm,compute_without_comm,communication,speedup_total,speedup_compute,efficiency_total,efficiency_compute
1,1536,2.816092148000,2.744549200000,0.054587539000,1,1,1,1
4,1536,1.222378899000,1.060140609000,0.404039686000,2.30378,2.58885,0.575945,0.647213
9,1536,1.168711080000,0.934457210000,0.558152210000,2.40957,2.93705,0.26773,0.326339
