n,processes,grid,block,total_with_comm,compute_without_comm,communication,idle,imbalance_percent,bytes_sent,bytes_received
256,4,2,128,0.019227998000,0.005191628000,0.013889246000,0.003630318000,18.626125,2228224,2228224
512,4,2,256,0.091055599000,0.040543787000,0.076865413000,0.017021086000,18.477468,8912896,8912896
1024,4,2,512,0.524992111000,0.373664853000,0.335888284000,0.016186514000,2.407422,35651584,35651584
1536,4,2,768,1.623841210000,1.378401205000,0.544459992000,0.145586032000,8.813958,80216064,80216064
2048,4,2,1024,3.601303350000,2.632451611000,2.342481686000,0.094628280000,2.485286,142606336,142606336
