rank,grid_row,grid_col,local_rows,local_cols,total,compute,communication,distribution,broadcast,gather,idle,bytes_sent,bytes_received
0,0,0,768,768,1.623823220000,1.071149196000,0.544459992000,0.197557528000,0.111042873000,0.235859591000,0.008214032000,37748736,23592960
1,0,1,768,768,1.621551790000,1.266031867000,0.209933891000,0.082599490000,0.123503700000,0.003830701000,0.145586032000,14155776,18874368
2,1,0,768,768,1.611293250000,1.378401205000,0.215910333000,0.140371753000,0.074917624000,0.000620956000,0.016981712000,14155776,18874368
3,1,1,768,768,1.623841210000,1.281592803000,0.339787057000,0.194705982000,0.123272735000,0.021808340000,0.002461350000,14155776,18874368
